
Predictions were generated on 08-Sep-2020 at 15:27:37 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.604000	 1.703E-03	 3.803E-04	-4.219E-08
       0.606000	 1.705E-03	 3.760E-04	-4.225E-08
       0.608000	 1.708E-03	 3.716E-04	-4.231E-08
       0.610000	 1.710E-03	 3.673E-04	-4.236E-08
       0.612000	 1.712E-03	 3.629E-04	-4.242E-08
       0.614000	 1.714E-03	 3.585E-04	-4.247E-08
       0.616000	 1.716E-03	 3.541E-04	-4.252E-08
       0.618000	 1.718E-03	 3.497E-04	-4.258E-08
       0.620000	 1.720E-03	 3.453E-04	-4.263E-08
       0.622000	 1.722E-03	 3.408E-04	-4.268E-08
       0.624000	 1.724E-03	 3.363E-04	-4.273E-08
       0.626000	 1.726E-03	 3.318E-04	-4.278E-08
       0.628000	 1.728E-03	 3.272E-04	-4.283E-08
       0.630000	 1.730E-03	 3.226E-04	-4.288E-08
       0.632000	 1.732E-03	 3.180E-04	-4.292E-08
       0.634000	 1.734E-03	 3.134E-04	-4.297E-08
       0.636000	 1.735E-03	 3.088E-04	-4.301E-08
       0.638000	 1.737E-03	 3.041E-04	-4.306E-08
       0.640000	 1.739E-03	 2.994E-04	-4.310E-08
       0.642000	 1.740E-03	 2.946E-04	-4.314E-08
       0.644000	 1.742E-03	 2.898E-04	-4.318E-08
       0.646000	 1.744E-03	 2.850E-04	-4.322E-08
       0.648000	 1.745E-03	 2.802E-04	-4.326E-08
       0.650000	 1.747E-03	 2.753E-04	-4.330E-08
       0.652000	 1.748E-03	 2.704E-04	-4.333E-08
       0.654000	 1.749E-03	 2.655E-04	-4.337E-08
       0.656000	 1.751E-03	 2.605E-04	-4.340E-08
       0.658000	 1.752E-03	 2.555E-04	-4.343E-08
       0.660000	 1.753E-03	 2.505E-04	-4.346E-08
       0.662000	 1.754E-03	 2.455E-04	-4.348E-08
       0.664000	 1.755E-03	 2.404E-04	-4.351E-08
       0.666000	 1.756E-03	 2.353E-04	-4.353E-08
       0.668000	 1.757E-03	 2.302E-04	-4.355E-08
       0.670000	 1.758E-03	 2.251E-04	-4.356E-08
       0.672000	 1.759E-03	 2.200E-04	-4.358E-08
       0.674000	 1.760E-03	 2.148E-04	-4.359E-08
       0.676000	 1.761E-03	 2.097E-04	-4.360E-08
       0.678000	 1.761E-03	 2.045E-04	-4.360E-08
       0.680000	 1.762E-03	 1.993E-04	-4.361E-08
       0.682000	 1.762E-03	 1.941E-04	-4.361E-08
       0.684000	 1.763E-03	 1.890E-04	-4.360E-08
       0.686000	 1.763E-03	 1.838E-04	-4.360E-08
       0.688000	 1.764E-03	 1.786E-04	-4.359E-08
       0.690000	 1.764E-03	 1.735E-04	-4.357E-08
       0.692000	 1.764E-03	 1.683E-04	-4.355E-08
       0.694000	 1.764E-03	 1.632E-04	-4.353E-08
       0.696000	 1.764E-03	 1.581E-04	-4.351E-08
       0.698000	 1.764E-03	 1.530E-04	-4.348E-08
       0.700000	 1.763E-03	 1.480E-04	-4.345E-08
       0.702000	 1.763E-03	 1.429E-04	-4.341E-08
       0.704000	 1.763E-03	 1.379E-04	-4.337E-08
       0.706000	 1.762E-03	 1.329E-04	-4.333E-08
       0.708000	 1.762E-03	 1.280E-04	-4.328E-08
       0.710000	 1.761E-03	 1.231E-04	-4.323E-08
       0.712000	 1.760E-03	 1.182E-04	-4.318E-08
       0.714000	 1.760E-03	 1.133E-04	-4.312E-08
       0.716000	 1.759E-03	 1.085E-04	-4.306E-08
       0.718000	 1.758E-03	 1.038E-04	-4.299E-08
       0.720000	 1.757E-03	 9.903E-05	-4.292E-08
       0.722000	 1.756E-03	 9.434E-05	-4.285E-08
